job_id,title,company,location,date,link, Length description,employment_type,seniority_level,place,job_function
2949114162,Investment Analyst (Summer 2022),Pangea Investments,Canada,3/3/2022,https://ca.linkedin.com/jobs/view/investment-analyst-summer-2022-at-pangea-investments-2949114162?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=OaHYK4PZHgiXLUp%2BWbYfBA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,1603,Part-time,,Waterloo Ontario Canada,
2947322724,Health And Wellness Coach,HerCollective,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/health-and-wellness-coach-at-hercollective-2947322724?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=u5yHiN9B7xy4K%2FfZ%2BCbVWQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,668,Part-time,,Canada,
2947532957,Marketing Intern,Ace Beverage Group,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/marketing-intern-at-ace-beverage-group-2947532957?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=4AatJ%2B%2BhszAjhEqBLQZXTA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2844,Full-time,,Toronto Ontario Canada,
2947509350,Software Engineer Summer Co-op/Intern 2022,Capital One,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/software-engineer-summer-co-op-intern-2022-at-capital-one-2947509350?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=pCfR%2BeY5AfAHMV%2FBLj2b1A%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,3727,Full-time,Internship,Toronto Ontario Canada,Engineering and Information Technology
2948549962,Mechanical Engineer-In-Training,Crossey Engineering Ltd.,Canada,3/2/2022,https://ca.linkedin.com/jobs/view/mechanical-engineer-in-training-at-crossey-engineering-ltd-2948549962?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=XajCtFDlFTmvnrH%2FCt6iYA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,1549,Full-time,Internship,North Vancouver British Columbia Canada,Engineering and Information Technology
2948496962,Analyst Origination Investments and M&A,eDGe Renewable Partners,Canada,3/2/2022,https://ca.linkedin.com/jobs/view/analyst-origination-investments-and-m-a-at-edge-renewable-partners-2948496962?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=UZ1PZoFDObe3SxSNLV1gIw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2013,Full-time,,Canada,
2946751977,Electrical Engineering Intern,AVOLTA Inc.,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/electrical-engineering-intern-at-avolta-inc-2946751977?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=t1CoYeln%2Bu%2BYAio76CxMJQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,1227,Internship,,Ontario Canada,
2947516840,Manufacturing Engineer,LHM Technologies Inc.,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/manufacturing-engineer-at-lhm-technologies-inc-2947516840?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=GNMfSN2te29kQkRd31GU8Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,4244,Full-time,,Woodbridge Ontario Canada,
2951783768,Financial Sales Analyst/Associate,Setter Capital Inc.,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/financial-sales-analyst-associate-at-setter-capital-inc-2951783768?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=zxKPV6KUBY0n6R%2FdLrv4Fw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2184,Full-time,,Toronto Ontario Canada,
2947396281,Jr Analytical Chemist / Instrumentation (Kitchener),Resolute Workforce Solutions,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/jr-analytical-chemist-instrumentation-kitchener-at-resolute-workforce-solutions-2947396281?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=OhWSXmV2OrvsRRqE%2F9uWHg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,2800,Full-time,,Kitchener Ontario Canada,
2951755506,Administrative Assistant,Meadow Brook,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/administrative-assistant-at-meadow-brook-2951755506?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=WLYIRa%2BgUCyzFEhS0NvqGw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,2012,Full-time,,Mississauga Ontario Canada,
2947526523,Market Risk Analyst- EN,TD,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/market-risk-analyst-en-at-td-2947526523?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=TCu5oqizt7YZE%2Fogfgho0Q%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,5632,Full-time,Not Applicable,Toronto Ontario Canada,Finance and Accounting/Auditing
2951346766,2022 Summer - Software Development Intern,Workiva,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/2022-summer-software-development-intern-at-workiva-2951346766?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=Asy2UPB5WROqi3ivrmwuKg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,4849,Full-time,Internship,Canada,Engineering and Information Technology
2947526547,Admin Assistant,TD,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/admin-assistant-at-td-2947526547?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=8I9sXvingQepA6Huw4lS8Q%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,3827,Full-time,Not Applicable,Markham Ontario Canada,Administrative
2947528515,Admin Assistant- EN,TD,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/admin-assistant-en-at-td-2947528515?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=wGvAk5wFqrn0OvQdSBR5yw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,3818,Full-time,Not Applicable,Markham Ontario Canada,Administrative
2948277644,Software Engineer Co-op - Summer 2022,Clearco,Canada,3/2/2022,https://ca.linkedin.com/jobs/view/software-engineer-co-op-summer-2022-at-clearco-2948277644?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=3OI1LlttcGridW7nX2qopg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,3750,Internship,Internship,Toronto Ontario Canada,Engineering and Information Technology
2951809858,Events Associate,CAMSC,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/events-associate-at-camsc-2951809858?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=OVW6hOHAq40WT2n%2BI9i5AA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,2362,Internship,,Toronto Ontario Canada ,
2947506739,Market Research Analyst,Fable Home,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/market-research-analyst-at-fable-home-2947506739?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=6A3h9jHCxdo5QhYeVmDcRA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2754,Full-time,,Canada,
2948263544,Data Science Co-op - Summer 2022,Clearco,Canada,3/2/2022,https://ca.linkedin.com/jobs/view/data-science-co-op-summer-2022-at-clearco-2948263544?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=Y%2BB8z4zpKd4lR9nXgabf4w%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,3201,Internship,Entry level,Toronto Ontario Canada,Engineering and Information Technology
2949061949,Junior Electrical Substation Design Engineer - T&D,Tetra Tech,Canada,3/2/2022,https://ca.linkedin.com/jobs/view/junior-electrical-substation-design-engineer-t-d-at-tetra-tech-2949061949?refId=kxaLKWytxh7fcpDqRqDkkg%3D%3D&trackingId=D7Rp49HuR8Rh8HgMno5L6w%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,4574,Full-time,Entry level,Mississauga Ontario Canada,Engineering and Information Technology
2951495030,Associate Software Developer-Cloud Solutions (Co-op position),HP,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/associate-software-developer-cloud-solutions-co-op-position-at-hp-2951495030?refId=y6kIi6dUyl1tWfiq9KC8uQ%3D%3D&trackingId=1uX35ceQjHGGf%2FoaiH3YpQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,3224,Full-time,Not Applicable,Burnaby British Columbia Canada,Engineering and Information Technology
2949041904,Analytical Chemist,Diteba,Canada,3/2/2022,https://ca.linkedin.com/jobs/view/analytical-chemist-at-diteba-2949041904?refId=y6kIi6dUyl1tWfiq9KC8uQ%3D%3D&trackingId=LOuSpEcv2lNYgKqGeDY%2FkA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,1383,Full-time,Associate,Mississauga Ontario Canada ,Research Analyst and Information Technology
2951793579,Mechanical Designer,Actalent,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/mechanical-designer-at-actalent-2951793579?refId=y6kIi6dUyl1tWfiq9KC8uQ%3D%3D&trackingId=rSSINK%2FlPtKB6pniZE%2FRBw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,3014,Contract,Entry level,Markham Ontario Canada,Engineering and Information Technology
2947520786,QA Project Lead,Bora Pharmaceuticals,Canada,3/4/2022,https://ca.linkedin.com/jobs/view/qa-project-lead-at-bora-pharmaceuticals-2947520786?refId=y6kIi6dUyl1tWfiq9KC8uQ%3D%3D&trackingId=aqHgPK2K9vWGU6aom%2BPbkQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,130,Full-time,,Mississauga Ontario Canada,
2951332427,2022 Summer - Software Development Intern,Workiva,Canada,2/7/2022,https://ca.linkedin.com/jobs/view/2022-summer-software-development-intern-at-workiva-2951332427?refId=y6kIi6dUyl1tWfiq9KC8uQ%3D%3D&trackingId=NwFIiXYjWysZJM7tXNeouQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,4849,Full-time,Internship,Canada,Engineering and Information Technology
